Date,Open,High,Low,Close,Adj Close,Volume
2025-05-08,2855.0,2855.0,2855.0,2851.0,2851.0,0
2025-05-09,2853.0,2853.0,2853.0,2855.0,2855.0,0
2025-05-12,2853.0,2853.0,2853.0,2855.0,2855.0,0
2025-05-13,2850.0,2850.0,2850.0,2853.0,2853.0,0
2025-05-14,2851.0,2851.0,2851.0,2850.0,2850.0,0
2025-05-15,2850.0,2850.0,2850.0,2851.0,2851.0,0
2025-05-16,2850.0,2850.0,2850.0,2851.0,2851.0,0
2025-05-19,2851.0,2851.0,2851.0,2850.0,2850.0,0
2025-05-20,2821.0,2821.0,2821.0,2851.0,2851.0,0
2025-05-21,2850.0,2850.0,2850.0,2821.0,2821.0,0
2025-05-22,2850.0,2850.0,2850.0,2821.0,2821.0,0
2025-05-23,2851.0,2851.0,2850.0,2850.0,2850.0,0
2025-05-26,2851.0,2851.0,2850.0,2850.0,2850.0,0
2025-05-27,2851.0,2851.0,2850.0,2850.0,2850.0,0
2025-05-28,2851.0,2851.0,2850.0,2850.0,2850.0,0
2025-05-29,2851.0,2851.0,2850.0,2850.0,2850.0,0
2025-05-30,2851.0,2851.0,2850.0,2850.0,2850.0,0
2025-06-02,2851.0,2851.0,2850.0,2850.0,2850.0,0
2025-06-03,2851.0,2851.0,2850.0,2850.0,2850.0,0
2025-06-04,2851.0,2851.0,2850.0,2850.0,2850.0,0
2025-06-05,2855.0,2855.0,2855.0,2850.0,2850.0,0
2025-06-06,2855.0,2855.0,2855.0,2856.0,2856.0,0
2025-06-09,2855.0,2855.0,2855.0,2856.0,2856.0,0
2025-06-10,2855.0,2855.0,2853.0,2855.0,2855.0,0
2025-06-11,2853.0,2853.0,2853.0,2853.0,2853.0,0
2025-06-12,2853.0,2853.0,2853.0,2853.0,2853.0,0
2025-06-13,2853.0,2853.0,2853.0,2853.0,2853.0,0
2025-06-16,2853.0,2853.0,2853.0,2853.0,2853.0,0
2025-06-17,2853.0,2853.0,2853.0,2853.0,2853.0,0
2025-06-18,2853.0,2853.0,2853.0,2853.0,2853.0,0
2025-06-19,2853.0,2853.0,2853.0,2853.0,2853.0,0
2025-06-20,2853.0,2853.0,2853.0,2853.0,2853.0,0
2025-06-23,2853.0,2853.0,2853.0,2853.0,2853.0,0
2025-06-24,2853.0,2853.0,2853.0,2853.0,2853.0,0
2025-06-25,2853.0,2853.0,2853.0,2853.0,2853.0,0
2025-06-26,2853.0,2853.0,2853.0,2853.0,2853.0,0
2025-06-27,2853.0,2853.0,2853.0,2853.0,2853.0,0
2025-06-30,2853.0,2861.0,2853.0,2853.0,2853.0,0
2025-07-01,2861.0,2861.0,2861.0,2861.0,2861.0,0
2025-07-02,2855.0,2855.0,2855.0,2855.0,2855.0,0
2025-07-03,2865.0,2865.0,2865.0,2865.0,2865.0,0
2025-07-04,2865.0,2865.0,2865.0,2865.0,2865.0,0
2025-07-07,2865.0,2865.0,2865.0,2865.0,2865.0,0
2025-07-08,2865.0,2865.0,2865.0,2865.0,2865.0,0
2025-07-09,2866.0,2866.0,2866.0,2866.0,2866.0,0
2025-07-10,2866.0,2866.0,2866.0,2866.0,2866.0,0
2025-07-11,2866.0,2866.0,2866.0,2866.0,2866.0,0
2025-07-14,2866.0,2866.0,2866.0,2866.0,2866.0,0
2025-07-15,2866.0,2866.0,2866.0,2866.0,2866.0,0
2025-07-16,2866.0,2866.0,2866.0,2866.0,2866.0,0
2025-07-17,2866.0,2866.0,2866.0,2866.0,2866.0,0
2025-07-18,2866.0,2866.0,2866.0,2866.0,2866.0,0
2025-07-21,2866.0,2866.0,2866.0,2866.0,2866.0,0
2025-07-22,2866.0,2866.0,2866.0,2866.0,2866.0,0
2025-07-23,2866.0,2866.0,2866.0,2866.0,2866.0,0
2025-07-24,2866.0,2866.0,2866.0,2866.0,2866.0,0
2025-07-25,2866.0,2869.0,2866.0,2866.0,2866.0,0
2025-07-28,2869.0,2869.0,2869.0,2869.0,2869.0,0
2025-07-29,2869.0,2869.0,2869.0,2869.0,2869.0,0
2025-07-30,2869.0,2870.0,2869.0,2869.0,2869.0,0
2025-07-31,2870.0,2870.0,2870.0,2870.0,2870.0,0
2025-08-01,2870.0,2870.0,2870.0,2870.0,2870.0,0
2025-08-04,2870.0,2870.0,2870.0,2870.0,2870.0,0
2025-08-05,2870.0,2870.0,2870.0,2870.0,2870.0,0
2025-08-06,2870.0,2870.0,2870.0,2870.0,2870.0,0
2025-08-07,2870.0,2870.0,2870.0,2870.0,2870.0,0
2025-08-08,2870.0,2870.0,2870.0,2870.0,2870.0,0
2025-08-11,2870.0,2870.0,2870.0,2870.0,2870.0,0
2025-08-12,2870.0,2870.0,2870.0,2870.0,2870.0,0
2025-08-13,2870.0,2870.0,2870.0,2870.0,2870.0,0
2025-08-14,2870.0,2870.0,2870.0,2870.0,2870.0,0
2025-08-15,2870.0,2870.0,2870.0,2870.0,2870.0,0
2025-08-18,2870.0,2875.0,2870.0,2870.0,2870.0,0
2025-08-19,2875.0,2875.0,2875.0,2875.0,2875.0,0
2025-08-20,2876.0,2876.0,2876.0,2876.0,2876.0,0
2025-08-21,2876.0,2876.0,2830.0,2876.0,2876.0,0
2025-08-22,2846.0,2846.0,2846.0,2845.0,2845.0,0
2025-08-25,2846.0,2846.0,2846.0,2845.0,2845.0,0
2025-08-26,2846.0,2848.0,2846.0,2846.0,2846.0,0
2025-08-27,2847.0,2888.0,2847.0,2848.0,2848.0,0
2025-08-28,2847.0,2850.0,2847.0,2847.0,2847.0,0
2025-08-29,2847.0,2847.0,2847.0,2850.0,2850.0,0
2025-09-01,2847.0,2847.0,2845.0,2850.0,2850.0,0
