Date,Open,High,Low,Close,Adj Close,Volume
2023-05-08,647.5,647.5,641.0,641.0,641.0,24
2023-05-09,628.0,630.5,628.0,630.5,630.5,8
2023-05-10,628.25,628.25,628.25,628.25,628.25,42
2023-05-11,617.5,617.5,614.25,614.25,614.25,22
2023-05-12,624.5,624.5,624.5,624.5,624.5,74154
2023-05-15,635.0,663.75,632.5,660.75,660.75,67502
2023-05-16,661.75,664.25,640.0,647.5,647.5,62562
2023-05-17,646.75,654.25,616.0,625.5,625.5,98456
2023-05-18,626.25,626.5,605.5,611.75,611.75,59509
2023-05-19,611.0,620.75,602.0,605.0,605.0,62743
2023-05-22,607.75,613.75,596.25,606.25,606.25,60942
2023-05-23,607.5,624.75,594.25,622.25,622.25,57431
2023-05-24,621.0,624.5,602.25,606.25,606.25,61465
2023-05-25,607.0,616.5,599.0,604.25,604.25,53306
2023-05-26,606.0,618.5,602.5,616.0,616.0,48350
2023-05-30,616.75,616.75,588.75,591.0,591.0,74481
2023-05-31,591.5,595.0,573.25,594.25,594.25,73773
2023-06-01,594.25,617.5,593.0,610.75,610.75,80028
2023-06-02,610.25,622.5,602.25,619.0,619.0,69362
2023-06-05,621.5,631.5,615.5,624.0,624.0,69485
2023-06-06,624.25,648.0,621.25,627.75,627.75,113883
2023-06-07,626.5,635.5,613.25,616.75,616.75,89270
2023-06-08,616.0,629.0,611.25,626.25,626.25,98911
2023-06-09,624.5,632.25,618.5,630.25,630.25,113037
2023-06-12,629.75,638.75,622.25,633.75,633.75,91968
2023-06-13,634.5,649.25,626.75,636.25,636.25,106163
2023-06-14,638.0,639.0,625.0,630.25,630.25,70761
2023-06-15,629.0,665.25,628.25,661.5,661.5,72093
2023-06-16,659.75,697.0,656.0,688.0,688.0,99940
2023-06-20,687.0,700.0,676.25,695.75,695.75,76040
2023-06-21,700.5,735.5,699.25,734.5,734.5,59228
2023-06-22,730.25,747.0,725.5,739.0,739.0,49752
2023-06-23,737.0,737.75,718.75,733.25,733.25,52472
2023-06-26,734.25,756.75,719.0,724.25,724.25,37363
2023-06-27,724.25,725.75,681.5,685.0,685.0,21844
2023-06-28,684.75,692.5,653.25,655.75,655.75,19744
2023-06-29,655.5,663.75,650.75,653.0,653.0,13944
2023-06-30,654.0,663.75,634.25,636.25,636.25,1368
2023-07-03,630.0,642.25,628.25,628.5,628.5,694
2023-07-05,640.0,662.0,635.0,662.0,662.0,288
2023-07-06,654.5,654.75,640.75,647.0,647.0,194
2023-07-07,642.75,646.75,639.5,639.5,639.5,57
2023-07-10,641.75,645.75,636.25,636.25,636.25,23
2023-07-11,645.0,650.0,642.75,649.5,649.5,119
2023-07-12,645.0,645.0,621.25,621.25,621.25,12
2023-07-13,614.25,627.5,614.25,627.5,627.5,24
2023-07-14,641.5,641.5,641.5,641.5,641.5,55640
2023-07-17,666.0,689.25,651.0,653.75,653.75,73578
2023-07-18,649.25,675.0,642.25,670.75,670.75,54946
2023-07-19,669.0,730.75,664.0,727.75,727.75,148746
2023-07-20,725.0,750.75,711.25,727.0,727.0,136382
2023-07-21,724.75,733.25,693.5,697.5,697.5,95069
2023-07-24,702.0,757.5,698.75,757.5,757.5,96764
2023-07-25,754.25,777.25,736.5,760.25,760.25,107919
2023-07-26,757.0,757.5,709.0,720.0,720.0,105761
2023-07-27,723.25,740.0,711.75,712.75,712.75,75102
2023-07-28,714.75,720.25,689.0,704.25,704.25,74606
2023-07-31,702.5,703.0,660.25,665.75,665.75,104577
2023-08-01,670.0,675.0,643.25,652.25,652.25,69422
2023-08-02,654.5,684.0,636.0,640.0,640.0,90376
2023-08-03,639.25,648.25,626.25,627.0,627.0,65703
2023-08-04,627.75,653.75,627.25,633.0,633.0,70991
2023-08-07,646.0,663.75,636.0,657.5,657.5,104532
2023-08-08,657.5,662.25,643.0,656.25,656.25,81628
2023-08-09,655.5,658.25,633.5,635.0,635.0,70504
2023-08-10,637.25,644.0,635.0,637.75,637.75,67426
2023-08-11,638.0,639.75,624.25,626.75,626.75,72254
2023-08-14,632.75,635.0,605.25,616.0,616.0,56037
2023-08-15,618.5,619.0,595.75,598.5,598.5,52402
2023-08-16,598.75,607.5,591.5,597.75,597.75,41338
2023-08-17,599.75,601.25,586.25,589.5,589.5,31435
2023-08-18,589.0,615.75,588.5,613.25,613.25,32904
2023-08-21,618.0,620.75,595.75,599.25,599.25,24478
2023-08-22,599.0,610.75,594.5,601.75,601.75,26011
2023-08-23,604.25,617.0,598.25,612.5,612.5,22591
2023-08-24,614.75,615.0,598.25,604.0,604.0,21786
2023-08-25,604.5,609.75,587.5,593.25,593.25,28997
2023-08-28,593.5,599.25,584.0,588.0,588.0,21644
2023-08-29,588.0,589.0,568.75,569.75,569.75,27766
2023-08-30,572.75,579.5,564.5,576.75,576.75,12815
2023-08-31,574.0,582.75,566.0,573.0,573.0,1699
2023-09-01,574.0,585.0,567.5,567.5,567.5,725
2023-09-05,569.25,575.0,567.0,572.5,572.5,104
2023-09-06,577.5,587.0,576.5,581.0,581.0,309
2023-09-07,578.25,585.0,571.5,571.5,571.5,152
2023-09-08,567.25,567.25,567.25,567.25,567.25,50
2023-09-11,561.5,561.5,556.0,556.0,556.0,189
2023-09-12,557.25,560.25,548.0,560.25,560.25,167
2023-09-13,562.5,569.0,562.5,569.0,569.0,42
2023-09-14,567.5,567.5,567.5,567.5,567.5,55236
2023-09-15,594.25,607.5,591.75,604.25,604.25,65394
2023-09-18,604.0,604.25,587.0,591.25,591.25,64919
2023-09-19,588.0,592.75,581.0,584.0,584.0,58587
2023-09-20,585.25,596.25,581.5,588.75,588.75,63637
2023-09-21,589.0,590.25,575.0,575.75,575.75,50330
2023-09-22,576.5,582.5,572.75,579.5,579.5,45559
2023-09-25,577.0,590.0,573.75,589.0,589.0,44697
2023-09-26,589.0,596.75,583.25,589.0,589.0,48882
2023-09-27,589.25,594.5,578.5,579.5,579.5,55807
2023-09-28,580.5,583.5,575.25,578.75,578.75,43969
2023-09-29,579.5,585.5,540.0,541.5,541.5,123780
2023-10-02,545.0,567.0,541.25,564.75,564.75,96364
2023-10-03,568.25,575.0,562.75,568.5,568.5,75409
2023-10-04,567.5,569.75,551.75,560.0,560.0,66479
2023-10-05,559.75,580.25,559.0,578.25,578.25,69807
2023-10-06,576.0,580.25,566.5,568.25,568.25,50140
2023-10-09,573.25,581.5,570.0,572.75,572.75,46092
2023-10-10,573.75,574.75,555.5,558.5,558.5,48419
2023-10-11,559.0,560.75,551.0,556.0,556.0,43895
2023-10-12,557.25,574.5,547.25,571.5,571.5,83008
