Date,Open,High,Low,Close,Adj Close,Volume
2025-05-07,517.0,518.5,517.0,518.0,518.0,82
2025-05-08,511.25,513.0,511.0,513.0,513.0,10
2025-05-09,505.5,505.5,505.5,505.5,505.5,6
2025-05-12,499.0,499.0,499.0,499.0,499.0,16
2025-05-13,501.5,501.5,501.5,501.5,501.5,19
2025-05-14,508.75,508.75,508.75,508.75,508.75,62950
2025-05-15,524.5,533.25,521.75,532.75,532.75,69748
2025-05-16,533.5,533.5,523.5,525.0,525.0,49356
2025-05-19,527.0,536.0,524.5,529.0,529.0,64286
2025-05-20,530.0,547.5,528.75,546.0,546.0,86585
2025-05-21,546.0,556.25,545.0,549.25,549.25,85813
2025-05-22,548.25,552.0,541.25,544.5,544.5,85214
2025-05-23,545.0,548.5,538.5,542.5,542.5,61665
2025-05-27,543.5,544.0,527.5,528.5,528.5,66898
2025-05-28,531.0,535.75,526.75,530.25,530.25,60152
2025-05-29,533.0,534.75,527.25,534.0,534.0,48247
2025-05-30,534.25,538.5,531.25,534.0,534.0,49023
2025-06-02,534.0,549.5,533.25,539.0,539.0,82568
2025-06-03,538.0,545.5,531.75,536.0,536.0,80640
2025-06-04,535.5,547.5,533.5,543.25,543.25,73113
2025-06-05,543.5,549.25,540.5,545.5,545.5,0
2025-06-06,545.25,555.75,540.25,554.75,554.75,97197
2025-06-09,556.0,557.75,540.0,542.0,542.0,102603
2025-06-10,540.0,542.0,530.75,534.5,534.5,90158
2025-06-11,535.0,539.25,532.0,534.25,534.25,72453
2025-06-12,534.25,537.0,526.0,526.5,526.5,93654
2025-06-13,526.75,544.75,522.25,543.75,543.75,102188
2025-06-16,545.0,546.75,531.75,536.5,536.5,77417
2025-06-17,536.25,552.25,536.25,549.0,549.0,71241
2025-06-18,549.0,575.0,547.0,574.25,574.25,0
2025-06-20,573.0,578.25,565.5,567.75,567.75,49117
2025-06-23,567.0,570.0,549.5,552.75,552.75,44221
2025-06-24,552.0,553.0,535.0,535.75,535.75,36906
2025-06-25,535.0,537.0,526.5,528.25,528.25,18240
2025-06-26,528.25,531.5,520.5,521.0,521.0,24542
2025-06-27,521.0,529.5,520.5,524.75,524.75,12677
2025-06-30,530.0,531.75,523.5,528.75,528.75,1972
2025-07-01,527.0,540.75,526.5,537.25,537.25,453
2025-07-02,546.0,556.0,544.75,556.0,556.0,62
2025-07-03,558.0,558.0,547.75,547.75,547.75,0
2025-07-07,538.5,541.75,538.0,539.75,539.75,53
2025-07-08,547.0,547.0,543.0,543.0,543.0,4
2025-07-09,545.0,545.0,542.75,542.75,542.75,41
2025-07-10,542.75,550.5,542.75,550.25,550.25,40
2025-07-11,548.5,548.5,540.75,540.75,540.75,21
2025-07-14,534.0,534.0,534.0,534.0,534.0,52432
2025-07-15,541.5,545.25,535.5,538.0,538.0,56165
2025-07-16,538.25,543.5,533.5,541.25,541.25,59091
2025-07-17,541.0,542.75,532.0,533.5,533.5,55433
2025-07-18,533.5,550.25,533.0,546.25,546.25,82550
2025-07-21,546.0,549.5,541.0,542.25,542.25,43970
2025-07-22,541.75,552.75,536.75,549.5,549.5,62596
2025-07-23,548.25,552.25,540.0,540.5,540.5,49135
2025-07-24,540.75,546.0,535.0,541.5,541.5,56771
2025-07-25,541.0,544.0,534.0,538.25,538.25,37484
2025-07-28,536.5,540.0,532.25,538.5,538.5,45184
2025-07-29,538.25,539.0,526.0,529.75,529.75,80217
2025-07-30,529.75,532.0,523.25,523.75,523.75,64991
2025-07-31,523.25,525.75,516.75,523.25,523.25,77077
2025-08-01,523.0,526.0,516.25,516.75,516.75,62480
2025-08-04,517.5,523.0,513.0,516.75,516.75,71053
2025-08-05,516.75,517.5,507.0,508.25,508.25,67614
2025-08-06,508.25,509.5,504.0,508.5,508.5,65192
2025-08-07,508.5,520.0,508.5,518.25,518.25,81829
2025-08-08,518.0,521.75,513.75,514.5,514.5,78246
2025-08-11,516.5,523.25,513.25,515.0,515.0,87297
2025-08-12,514.25,515.0,503.25,505.0,505.0,116430
2025-08-13,505.0,510.75,502.25,507.25,507.25,78660
2025-08-14,506.25,508.75,500.75,503.5,503.5,71519
2025-08-15,504.0,508.25,502.25,506.5,506.5,59556
2025-08-18,506.25,508.75,500.75,502.75,502.75,64948
2025-08-19,502.5,502.5,497.5,498.5,498.5,45629
2025-08-20,498.0,508.0,494.5,505.5,505.5,53676
2025-08-21,506.0,511.5,502.0,507.0,507.0,49806
2025-08-22,506.25,509.75,503.5,504.75,504.75,36797
2025-08-25,504.75,512.25,504.25,506.75,506.75,31672
